kernel,B,H,W,k,block,BLOCK_M,BLOCK_N,BLOCK_K,NUM_WARPS,NUM_STAGES,mode,keep_ratio,time_ms,torch_time_ms,speedup_vs_torch,mae,max,rel_l2
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,dense,1.0,0.69023681640625,0.11696127891540527,0.16945094224960294,8.088909089565277e-05,0.001953125,0.0003486883360892534
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,channel,1.0,0.6841753387451172,0.11696127891540527,0.17095219937323414,8.088909089565277e-05,0.001953125,0.0003486883360892534
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,channel,0.85,0.8629657745361328,0.11696127891540527,0.13553408763896238,0.06645882874727249,3.1640625,0.36366260051727295
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,channel,0.75,0.940052490234375,0.11696127891540527,0.12441994476951425,0.1073429137468338,3.1640625,0.46450579166412354
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,channel,0.65,0.8154521942138672,0.11696127891540527,0.14343119038162774,0.14941325783729553,3.1640625,0.5516571402549744
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,channel,0.5,0.7408844757080079,0.11696127891540527,0.15786709365671905,0.22017334401607513,3.212890625,0.6742751598358154
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,channel,0.35,0.7054131317138672,0.11696127891540527,0.16580536093967643,0.2928003668785095,3.212890625,0.7828121781349182
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,channel,0.25,0.6334668731689453,0.11696127891540527,0.18463677244920706,0.3376118838787079,3.212890625,0.8444278240203857
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,block,1.0,0.7143014526367187,0.11696127891540527,0.16374218263684498,8.088909089565277e-05,0.001953125,0.0003486883360892534
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,block,0.85,0.8867021179199219,0.11696127891540527,0.13190594287716367,0.05485542491078377,3.029296875,0.3359450399875641
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,block,0.75,0.8351538848876953,0.11696127891540527,0.14004757809530308,0.1112883910536766,3.046875,0.482300341129303
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,block,0.65,0.7940083312988281,0.11696127891540527,0.14730485097565865,0.1684514433145523,3.1640625,0.5962845087051392
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,block,0.5,0.756816635131836,0.11696127891540527,0.15454374743630053,0.22560101747512817,3.212890625,0.6915515065193176
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,block,0.35,0.7040819549560546,0.11696127891540527,0.16611884183667996,0.28343480825424194,3.212890625,0.7771689891815186
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,block,0.25,0.6745702362060547,0.11696127891540527,0.17338636162369636,0.34189572930336,3.212890625,0.8557457327842712
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,input,1.0,0.7057612609863281,0.11696127891540527,0.165723574501592,8.088909089565277e-05,0.001953125,0.0003486883360892534
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,input,0.85,0.8175405120849609,0.11696127891540527,0.14306481108455496,0.16350331902503967,1.26788330078125,0.35805007815361023
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,input,0.75,0.7958086395263672,0.11696127891540527,0.14697161240297146,0.21020495891571045,1.64990234375,0.45842787623405457
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,input,0.65,0.8011366271972656,0.11696127891540527,0.14599417246043056,0.24993591010570526,2.0040283203125,0.5442469120025635
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,input,0.5,0.7784652709960938,0.11696127891540527,0.15024598177096093,0.3080410361289978,2.17431640625,0.6694660782814026
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,input,0.35,0.7592755126953125,0.11696127891540527,0.15404326487523684,0.3579624593257904,2.418701171875,0.7770875096321106
1x1@56,32,56,56,1,64-64-16/4x2,64,64,16,4,2,input,0.25,0.7581696319580078,0.11696127891540527,0.15426795532992718,0.3860342800617218,2.68798828125,0.8376279473304749
1x1@56,32,56,56,1,64-64-32/4x2,64,64,32,4,2,dense,1.0,0.7052902221679688,0.11696127891540527,0.16583425551524275,8.088909089565277e-05,0.001953125,0.0003486883360892534
1x1@56,32,56,56,1,64-64-32/4x2,64,64,32,4,2,channel,1.0,0.6900736236572266,0.11696127891540527,0.16949101502465522,8.088909089565277e-05,0.001953125,0.0003486883360892534
1x1@56,32,56,56,1,64-64-32/4x2,64,64,32,4,2,channel,0.85,0.8724275207519532,0.11696127891540527,0.13406417855158362,0.06645882874727249,3.1640625,0.36366260051727295
1x1@56,32,56,56,1,64-64-32/4x2,64,64,32,4,2,channel,0.75,0.8160870361328125,0.11696127891540527,0.14331961388536335,0.1073429137468338,3.1640625,0.46450579166412354
1x1@56,32,56,56,1,64-64-32/4x2,64,64,32,4,2,channel,0.65,0.8055193328857422,0.11696127891540527,0.14519984082367826,0.14941325783729553,3.1640625,0.5516571402549744
1x1@56,32,56,56,1,64-64-32/4x2,64,64,32,4,2,channel,0.5,0.7534783935546875,0.11696127891540527,0.15522844439323158,0.22017334401607513,3.212890625,0.6742751598358154
1x1@56,32,56,56,1,64-64-32/4x2,64,64,32,4,2,channel,0.35,0.7136255645751953,0.11696127891540527,0.16389726590726833,0.2928003668785095,3.212890625,0.7828121781349182
1x1@56,32,56,56,1,64-64-32/4x2,64,64,32,4,2,channel,0.25,0.6519398498535156,0.11696127891540527,0.17940501557265645,0.3376118838787079,3.212890625,0.8444278240203857
1x1@56,32,56,56,1,64-64-32/4x2,64,64,32,4,2,block,1.0,0.7304806518554687,0.11696127891540527,0.16011550561717952,8.088909089565277e-05,0.001953125,0.0003486883360892534
1x1@56,32,56,56,1,64-64-32/4x2,64,64,32,4,2,block,0.85,0.8833433532714844,0.11696127891540527,0.13240749305718577,0.05485542491078377,3.029296875,0.3359450399875641
1x1@56,32,56,56,1,64-64-32/4x2,64,64,32,4,2,block,0.75,0.8514150238037109,0.11696127891540527,0.1373728154254065,0.1112883910536766,3.046875,0.482300341129303
1x1@56,32,56,56,1,64-64-32/4x2,64,64,32,4,2,block,0.65,0.8218624114990234,0.11696127891540527,0.1423124811147836,0.1684514433145523,3.1640625,0.5962845087051392
1x1@56,32,56,56,1,64-64-32/4x2,64,64,32,4,2,block,0.5,0.7736115264892578,0.11696127891540527,0.1511886456063932,0.22560101747512817,3.212890625,0.6915515065193176
1x1@56,32,56,56,1,64-64-32/4x2,64,64,32,4,2,block,0.35,0.7693740844726562,0.11696127891540527,0.15202133952246752,0.28343480825424194,3.212890625,0.7771689891815186
1x1@56,32,56,56,1,64-64-32/4x2,64,64,32,4,2,block,0.25,0.7069696044921875,0.11696127891540527,0.1654403218642164,0.34189572930336,3.212890625,0.8557457327842712
1x1@56,32,56,56,1,64-64-32/4x2,64,64,32,4,2,input,1.0,0.7497318267822266,0.11696127891540527,0.156004153401612,8.088909089565277e-05,0.001953125,0.0003486883360892534
1x1@56,32,56,56,1,64-64-32/4x2,64,64,32,4,2,input,0.85,0.8520275115966797,0.11696127891540527,0.1372740637168189,0.16350331902503967,1.26788330078125,0.35805007815361023
1x1@56,32,56,56,1,64-64-32/4x2,64,64,32,4,2,input,0.75,0.8095340728759766,0.11696127891540527,0.1444797480850743,0.21020495891571045,1.64990234375,0.45842787623405457
1x1@56,32,56,56,1,64-64-32/4x2,64,64,32,4,2,input,0.65,0.8223538970947266,0.11696127891540527,0.14222742705861166,0.24993591010570526,2.0040283203125,0.5442469120025635
1x1@56,32,56,56,1,64-64-32/4x2,64,64,32,4,2,input,0.5,0.8143462371826172,0.11696127891540527,0.14362598311997443,0.3080410361289978,2.17431640625,0.6694660782814026
1x1@56,32,56,56,1,64-64-32/4x2,64,64,32,4,2,input,0.35,0.7777279663085938,0.11696127891540527,0.15038841855019053,0.3579624593257904,2.418701171875,0.7770875096321106
1x1@56,32,56,56,1,64-64-32/4x2,64,64,32,4,2,input,0.25,0.7390412902832031,0.11696127891540527,0.15826081770151884,0.3860342800617218,2.68798828125,0.8376279473304749
1x1@56,32,56,56,1,64-64-64/4x2,64,64,64,4,2,dense,1.0,0.713276138305664,0.11696127891540527,0.16397755740608166,8.088909089565277e-05,0.001953125,0.0003486883360892534
1x1@56,32,56,56,1,64-64-64/4x2,64,64,64,4,2,channel,1.0,0.6853209686279297,0.11696127891540527,0.17066642386496886,8.088909089565277e-05,0.001953125,0.0003486883360892534
1x1@56,32,56,56,1,64-64-64/4x2,64,64,64,4,2,channel,0.85,0.8536678314208984,0.11696127891540527,0.13701029207194976,0.06645882874727249,3.1640625,0.36366260051727295
1x1@56,32,56,56,1,64-64-64/4x2,64,64,64,4,2,channel,0.75,0.8126668548583984,0.11696127891540527,0.14392278732197705,0.1073429137468338,3.1640625,0.46450579166412354
1x1@56,32,56,56,1,64-64-64/4x2,64,64,64,4,2,channel,0.65,0.8234566497802734,0.11696127891540527,0.14203695962211801,0.14941325783729553,3.1640625,0.5516571402549744
1x1@56,32,56,56,1,64-64-64/4x2,64,64,64,4,2,channel,0.5,0.7435462188720703,0.11696127891540527,0.15730196179711708,0.22017334401607513,3.212890625,0.6742751598358154
1x1@56,32,56,56,1,64-64-64/4x2,64,64,64,4,2,channel,0.35,0.7296377563476563,0.11696127891540527,0.16030047499306738,0.2928003668785095,3.212890625,0.7828121781349182
1x1@56,32,56,56,1,64-64-64/4x2,64,64,64,4,2,channel,0.25,0.653311996459961,0.11696127891540527,0.179028212476079,0.3376118838787079,3.212890625,0.8444278240203857
1x1@56,32,56,56,1,64-64-64/4x2,64,64,64,4,2,block,1.0,0.6992441558837891,0.11696127891540527,0.16726815366454584,8.088909089565277e-05,0.001953125,0.0003486883360892534
1x1@56,32,56,56,1,64-64-64/4x2,64,64,64,4,2,block,0.85,0.8617581176757813,0.11696127891540527,0.13572402338472608,0.05485542491078377,3.029296875,0.3359450399875641
1x1@56,32,56,56,1,64-64-64/4x2,64,64,64,4,2,block,0.75,0.8195481872558594,0.11696127891540527,0.1427143403330968,0.1112883910536766,3.046875,0.482300341129303
1x1@56,32,56,56,1,64-64-64/4x2,64,64,64,4,2,block,0.65,0.7737548828125,0.11696127891540527,0.15116063434748997,0.1684514433145523,3.1640625,0.5962845087051392
1x1@56,32,56,56,1,64-64-64/4x2,64,64,64,4,2,block,0.5,0.7287987518310547,0.11696127891540527,0.16048501540589694,0.22560101747512817,3.212890625,0.6915515065193176
1x1@56,32,56,56,1,64-64-64/4x2,64,64,64,4,2,block,0.35,0.6827417755126953,0.11696127891540527,0.1713111502918872,0.28343480825424194,3.212890625,0.7771689891815186
1x1@56,32,56,56,1,64-64-64/4x2,64,64,64,4,2,block,0.25,0.6667263793945313,0.11696127891540527,0.1754262056071943,0.34189572930336,3.212890625,0.8557457327842712
1x1@56,32,56,56,1,64-64-64/4x2,64,64,64,4,2,input,1.0,0.7125401306152344,0.11696127891540527,0.16414693557598845,8.088909089565277e-05,0.001953125,0.0003486883360892534
1x1@56,32,56,56,1,64-64-64/4x2,64,64,64,4,2,input,0.85,0.8197939300537109,0.11696127891540527,0.1426715600440494,0.16350331902503967,1.26788330078125,0.35805007815361023
1x1@56,32,56,56,1,64-64-64/4x2,64,64,64,4,2,input,0.75,0.7955865478515625,0.11696127891540527,0.14701264021023575,0.21020495891571045,1.64990234375,0.45842787623405457
1x1@56,32,56,56,1,64-64-64/4x2,64,64,64,4,2,input,0.65,0.7917158508300781,0.11696127891540527,0.14773138467895605,0.24993591010570526,2.0040283203125,0.5442469120025635
1x1@56,32,56,56,1,64-64-64/4x2,64,64,64,4,2,input,0.5,0.7754137420654297,0.11696127891540527,0.15083725315966354,0.3080410361289978,2.17431640625,0.6694660782814026
1x1@56,32,56,56,1,64-64-64/4x2,64,64,64,4,2,input,0.35,0.7585177612304688,0.11696127891540527,0.15419715251712826,0.3579624593257904,2.418701171875,0.7770875096321106
1x1@56,32,56,56,1,64-64-64/4x2,64,64,64,4,2,input,0.25,0.7653580474853515,0.11696127891540527,0.15281903587437465,0.3860342800617218,2.68798828125,0.8376279473304749
1x1@56,32,56,56,1,64-128-32/4x2,64,128,32,4,2,dense,1.0,0.710615005493164,0.11696127891540527,0.16459162557964083,8.088909089565277e-05,0.001953125,0.0003486883360892534
1x1@56,32,56,56,1,64-128-32/4x2,64,128,32,4,2,channel,1.0,0.7393228912353516,0.11696127891540527,0.158200537683842,8.088909089565277e-05,0.001953125,0.0003486883360892534
1x1@56,32,56,56,1,64-128-32/4x2,64,128,32,4,2,channel,0.85,0.918887710571289,0.11696127891540527,0.12728571464155106,0.06645882874727249,3.1640625,0.36366260051727295
1x1@56,32,56,56,1,64-128-32/4x2,64,128,32,4,2,channel,0.75,0.8909824371337891,0.11696127891540527,0.1312722608670708,0.1073429137468338,3.1640625,0.46450579166412354
1x1@56,32,56,56,1,64-128-32/4x2,64,128,32,4,2,channel,0.65,0.8681267547607422,0.11696127891540527,0.1347283426918919,0.14941325783729553,3.1640625,0.5516571402549744
1x1@56,32,56,56,1,64-128-32/4x2,64,128,32,4,2,channel,0.5,0.7766425323486328,0.11696127891540527,0.1505986010857588,0.22017334401607513,3.212890625,0.6742751598358154
1x1@56,32,56,56,1,64-128-32/4x2,64,128,32,4,2,channel,0.35,0.7016652679443359,0.11696127891540527,0.16669099107337312,0.2928003668785095,3.212890625,0.7828121781349182
1x1@56,32,56,56,1,64-128-32/4x2,64,128,32,4,2,channel,0.25,0.7013581085205078,0.11696127891540527,0.16676399330740083,0.3376118838787079,3.212890625,0.8444278240203857
1x1@56,32,56,56,1,64-128-32/4x2,64,128,32,4,2,block,1.0,0.7080544281005859,0.11696127891540527,0.1651868476116497,8.088909089565277e-05,0.001953125,0.0003486883360892534
1x1@56,32,56,56,1,64-128-32/4x2,64,128,32,4,2,block,0.85,0.8806988525390625,0.11696127891540527,0.13280507698880822,0.05485542491078377,3.029296875,0.3359450399875641
1x1@56,32,56,56,1,64-128-32/4x2,64,128,32,4,2,block,0.75,0.8388607788085938,0.11696127891540527,0.13942871316682787,0.1112883910536766,3.046875,0.482300341129303
1x1@56,32,56,56,1,64-128-32/4x2,64,128,32,4,2,block,0.65,0.8433625793457031,0.11696127891540527,0.13868445408871008,0.1684514433145523,3.1640625,0.5962845087051392
1x1@56,32,56,56,1,64-128-32/4x2,64,128,32,4,2,block,0.5,0.7388159942626953,0.11696127891540527,0.1583090780704163,0.22560101747512817,3.212890625,0.6915515065193176
1x1@56,32,56,56,1,64-128-32/4x2,64,128,32,4,2,block,0.35,0.7308070373535156,0.11696127891540527,0.16004399648224407,0.28343480825424194,3.212890625,0.7771689891815186
1x1@56,32,56,56,1,64-128-32/4x2,64,128,32,4,2,block,0.25,0.66482177734375,0.11696127891540527,0.17592877204281132,0.34189572930336,3.212890625,0.8557457327842712
1x1@56,32,56,56,1,64-128-32/4x2,64,128,32,4,2,input,1.0,0.7143628692626953,0.11696127891540527,0.16372810506811863,8.088909089565277e-05,0.001953125,0.0003486883360892534
1x1@56,32,56,56,1,64-128-32/4x2,64,128,32,4,2,input,0.85,0.810909423828125,0.11696127891540527,0.14423470177872247,0.16350331902503967,1.26788330078125,0.35805007815361023
1x1@56,32,56,56,1,64-128-32/4x2,64,128,32,4,2,input,0.75,0.8054374694824219,0.11696127891540527,0.1452145987081594,0.21020495891571045,1.64990234375,0.45842787623405457
1x1@56,32,56,56,1,64-128-32/4x2,64,128,32,4,2,input,0.65,0.7712358093261719,0.11696127891540527,0.15165436757610393,0.24993591010570526,2.0040283203125,0.5442469120025635
1x1@56,32,56,56,1,64-128-32/4x2,64,128,32,4,2,input,0.5,0.7587225341796875,0.11696127891540527,0.15415553597846013,0.3080410361289978,2.17431640625,0.6694660782814026
1x1@56,32,56,56,1,64-128-32/4x2,64,128,32,4,2,input,0.35,0.7457145690917969,0.11696127891540527,0.15684456729583812,0.3579624593257904,2.418701171875,0.7770875096321106
1x1@56,32,56,56,1,64-128-32/4x2,64,128,32,4,2,input,0.25,0.7494041442871093,0.11696127891540527,0.15607236736950234,0.3860342800617218,2.68798828125,0.8376279473304749
1x1@56,32,56,56,1,128-64-32/8x2,128,64,32,8,2,dense,1.0,0.6904377746582031,0.11696127891540527,0.16940162199744388,8.088909089565277e-05,0.001953125,0.0003486883360892534
1x1@56,32,56,56,1,128-64-32/8x2,128,64,32,8,2,channel,1.0,0.7280435180664062,0.11696127891540527,0.16065149405634432,8.088909089565277e-05,0.001953125,0.0003486883360892534
1x1@56,32,56,56,1,128-64-32/8x2,128,64,32,8,2,channel,0.85,0.8587468719482422,0.11696127891540527,0.13619994754688863,0.06645882874727249,3.1640625,0.36366260051727295
1x1@56,32,56,56,1,128-64-32/8x2,128,64,32,8,2,channel,0.75,0.8536883544921875,0.11696127891540527,0.13700699827981036,0.1073429137468338,3.1640625,0.46450579166412354
1x1@56,32,56,56,1,128-64-32/8x2,128,64,32,8,2,channel,0.65,0.787804183959961,0.11696127891540527,0.14846491208956267,0.14941325783729553,3.1640625,0.5516571402549744
1x1@56,32,56,56,1,128-64-32/8x2,128,64,32,8,2,channel,0.5,0.7316889953613281,0.11696127891540527,0.1598510838032306,0.22017334401607513,3.212890625,0.6742751598358154
1x1@56,32,56,56,1,128-64-32/8x2,128,64,32,8,2,channel,0.35,0.6911385345458985,0.11696127891540527,0.16922986213213073,0.2928003668785095,3.212890625,0.7828121781349182
1x1@56,32,56,56,1,128-64-32/8x2,128,64,32,8,2,channel,0.25,0.6382579040527344,0.11696127891540527,0.18325081158061404,0.3376118838787079,3.212890625,0.8444278240203857
1x1@56,32,56,56,1,128-64-32/8x2,128,64,32,8,2,block,1.0,0.7117209625244141,0.11696127891540527,0.16433586345490445,8.088909089565277e-05,0.001953125,0.0003486883360892534
1x1@56,32,56,56,1,128-64-32/8x2,128,64,32,8,2,block,0.85,0.9219232177734376,0.11696127891540527,0.12686661607013403,0.05485542491078377,3.029296875,0.3359450399875641
1x1@56,32,56,56,1,128-64-32/8x2,128,64,32,8,2,block,0.75,0.8930303955078125,0.11696127891540527,0.13097121834122616,0.1112883910536766,3.046875,0.482300341129303
1x1@56,32,56,56,1,128-64-32/8x2,128,64,32,8,2,block,0.65,0.8279449462890625,0.11696127891540527,0.14126697607085856,0.1684514433145523,3.1640625,0.5962845087051392
1x1@56,32,56,56,1,128-64-32/8x2,128,64,32,8,2,block,0.5,0.7330201721191406,0.11696127891540527,0.1595607915908692,0.22560101747512817,3.212890625,0.6915515065193176
1x1@56,32,56,56,1,128-64-32/8x2,128,64,32,8,2,block,0.35,0.6923673248291016,0.11696127891540527,0.16892951865438632,0.28343480825424194,3.212890625,0.7771689891815186
1x1@56,32,56,56,1,128-64-32/8x2,128,64,32,8,2,block,0.25,0.6565478515625,0.11696127891540527,0.17814585583831,0.34189572930336,3.212890625,0.8557457327842712
