mode,keep_ratio,mae,max,rel_l2,time_ms,BLOCK_M,BLOCK_N,BLOCK_K,NUM_WARPS,NUM_STAGES
block-4,1.0,8.528552280040458e-05,0.001953125,0.0003845377068500966,31.164227440003742,64,64,32,4,2
block-4,0.85,8.525835437467322e-05,0.001953125,0.00038452952867373824,31.19442308001453,64,64,32,4,2
block-4,0.75,8.531180355930701e-05,0.001953125,0.00038452056469395757,31.17186531999323,64,64,32,4,2
block-4,0.65,8.52468001539819e-05,0.001953125,0.00038439410855062306,31.389698980001413,64,64,32,4,2
block-4,0.5,8.526186866220087e-05,0.001953125,0.00038433715235441923,31.672049680000782,64,64,32,4,2
block-4,0.35,8.526166493538767e-05,0.001953125,0.000384397164452821,31.94326775999798,64,64,32,4,2
block-4,0.25,8.524335135007277e-05,0.001953125,0.00038442073855549097,31.642642059996433,64,64,32,4,2
