mode,keep_ratio,mae,max,rel_l2,time_ms,BLOCK_M,BLOCK_N,BLOCK_K,NUM_WARPS,NUM_STAGES
input,1.0,8.520141273038462e-05,0.001953125,0.00038432679139077663,32.32233841999914,64,64,32,4,2
input,0.85,8.532935316907242e-05,0.001953125,0.00038458433118648827,31.313314660001197,64,64,32,4,2
input,0.75,8.526667079422623e-05,0.001953125,0.0003845144237857312,31.655290679991595,64,64,32,4,2
input,0.65,8.52799930726178e-05,0.001953125,0.0003845042083412409,31.37410670000463,64,64,32,4,2
input,0.5,8.526437886757776e-05,0.001953125,0.0003844741149805486,31.31317688001218,64,64,32,4,2
input,0.35,8.520612755091861e-05,0.001953125,0.00038437629700638354,31.509884400002193,64,64,32,4,2
input,0.25,8.527957834303379e-05,0.001953125,0.0003843757149297744,31.59044519999952,64,64,32,4,2
